#,Date-Time (EST),"ACCurrent , amp","Temperature , °C","RH , %","Light , lux","Dew Point , °C"
18,01/14/2025 11:47:45,102.416,26.395,16.79,9.15,-0.77
19,01/14/2025 11:48:45,98.46,26.748,15.5,6.93,-1.57
20,01/14/2025 11:49:45,97.426,28.396,14.97,0.0,-0.73
21,01/14/2025 11:50:45,96.355,29.786,14.27,0.0,-0.3
22,01/14/2025 11:51:45,95.857,30.677,13.87,0.0,0.02
23,01/14/2025 11:52:45,100.682,31.318,13.52,0.0,0.17
24,01/14/2025 11:53:45,99.916,31.781,13.12,0.0,0.12
25,01/14/2025 11:54:45,97.743,32.143,12.62,0.0,-0.14
26,01/14/2025 11:55:45,96.962,32.429,12.42,0.0,-0.14
27,01/14/2025 11:56:45,96.632,32.666,12.04,0.0,-0.38
28,01/14/2025 11:57:45,99.916,32.872,11.71,0.0,-0.61
29,01/14/2025 11:58:45,103.136,33.042,11.16,0.0,-1.14
30,01/14/2025 11:59:45,98.463,33.186,10.9,0.0,-1.34
31,01/14/2025 12:00:45,97.325,33.31,10.91,0.0,-1.24
32,01/14/2025 12:01:45,96.666,33.424,10.77,0.0,-1.33
33,01/14/2025 12:02:45,96.19,33.52,11.09,0.0,-0.85
34,01/14/2025 12:03:45,102.257,33.613,10.76,0.0,-1.19
35,01/14/2025 12:04:45,100.737,33.706,11.15,0.0,-0.64
36,01/14/2025 12:05:45,98.466,33.799,10.84,0.0,-0.95
37,01/14/2025 12:06:45,97.633,33.884,10.93,0.0,-0.78
38,01/14/2025 12:07:45,97.044,33.978,10.88,0.0,-0.76
39,01/14/2025 12:08:45,99.791,34.043,10.24,0.0,-1.53
40,01/14/2025 12:09:45,97.679,34.085,9.98,0.0,-1.86
41,01/14/2025 12:10:45,99.773,34.135,10.49,0.0,-1.14
42,01/14/2025 12:11:45,97.884,34.193,10.42,0.0,-1.19
43,01/14/2025 12:12:45,97.008,34.254,10.91,0.0,-0.51
44,01/14/2025 12:13:45,96.391,34.323,10.97,0.0,-0.39
45,01/14/2025 12:14:45,101.201,34.376,10.16,0.0,-1.4
46,01/14/2025 12:15:45,99.336,34.414,10.1,0.0,-1.45
47,01/14/2025 12:16:45,99.254,34.442,10.03,0.0,-1.51
48,01/14/2025 12:17:45,98.119,34.48,10.2,0.0,-1.26
49,01/14/2025 12:18:45,97.224,34.508,10.0,0.0,-1.51
50,01/14/2025 12:19:45,97.069,34.536,9.92,0.0,-1.59
51,01/14/2025 12:20:45,102.867,34.562,9.91,0.0,-1.6
52,01/14/2025 12:21:45,101.051,34.593,9.7,0.0,-1.87
53,01/14/2025 12:22:45,98.219,34.618,9.43,0.0,-2.22
54,01/14/2025 12:23:45,96.657,34.651,9.65,0.0,-1.89
55,01/14/2025 12:24:45,96.233,34.673,9.87,0.0,-1.57
56,01/14/2025 12:25:45,98.35,34.701,10.07,0.0,-1.28
57,01/14/2025 12:26:45,99.55,34.727,9.95,0.0,-1.42
58,01/14/2025 12:27:45,99.663,34.752,10.27,0.0,-0.97
