#,Date-Time (EST),"ACCurrent , amp","Temperature , °C","RH , %","Dew Point , °C"
45,01/29/2025 11:54:00,126.717,21.681,26.27,1.5
46,01/29/2025 11:55:00,137.087,21.882,25.04,1.01
47,01/29/2025 11:56:00,95.283,23.42,23.94,1.68
48,01/29/2025 11:57:00,129.815,24.338,22.86,1.8
49,01/29/2025 11:58:00,92.702,24.953,21.91,1.72
50,01/29/2025 11:59:00,112.093,25.344,21.26,1.63
51,01/29/2025 12:00:00,133.092,25.736,20.77,1.63
52,01/29/2025 12:01:00,96.41,26.093,20.27,1.59
53,01/29/2025 12:02:00,104.039,26.337,19.91,1.54
54,01/29/2025 12:03:00,132.842,26.498,19.64,1.47
55,01/29/2025 12:04:00,106.596,26.655,19.36,1.41
56,01/29/2025 12:05:00,136.956,26.753,19.21,1.38
57,01/29/2025 12:06:00,133.739,26.875,19.15,1.43
58,01/29/2025 12:07:00,112.584,26.957,19.02,1.4
59,01/29/2025 12:08:00,92.296,27.003,18.9,1.35
60,01/29/2025 12:09:00,127.123,27.153,18.73,1.35
61,01/29/2025 12:10:00,131.618,27.26,18.52,1.28
62,01/29/2025 12:11:00,127.111,27.436,18.43,1.36
63,01/29/2025 12:12:00,127.361,27.589,18.23,1.33
64,01/29/2025 12:13:00,103.999,27.683,18.1,1.31
65,01/29/2025 12:14:00,92.628,27.794,17.96,1.29
66,01/29/2025 12:15:00,99.223,27.861,17.88,1.28
67,01/29/2025 12:16:00,112.215,27.929,17.71,1.2
68,01/29/2025 12:17:00,92.467,27.947,17.57,1.11
69,01/29/2025 12:18:00,113.954,27.975,17.53,1.1
70,01/29/2025 12:19:00,96.825,27.986,17.39,1.0
71,01/29/2025 12:20:00,96.272,27.964,17.37,0.97
72,01/29/2025 12:21:00,96.266,27.922,17.38,0.94
73,01/29/2025 12:22:00,131.991,27.91,17.33,0.89
74,01/29/2025 12:23:00,102.785,27.89,17.3,0.85
75,01/29/2025 12:24:00,100.551,27.893,17.27,0.83
76,01/29/2025 12:25:00,96.599,27.828,17.3,0.8
77,01/29/2025 12:26:00,94.911,27.814,17.28,0.77
78,01/29/2025 12:27:00,108.684,27.858,17.29,0.81
79,01/29/2025 12:28:00,135.924,27.921,17.27,0.85
80,01/29/2025 12:29:00,95.384,27.926,17.29,0.87
81,01/29/2025 12:30:00,98.296,27.986,17.2,0.84
82,01/29/2025 12:31:00,102.214,28.071,17.2,0.91
83,01/29/2025 12:32:00,108.666,28.122,17.09,0.86
84,01/29/2025 12:33:00,128.164,28.17,17.08,0.89
85,01/29/2025 12:34:00,129.5,28.227,17.0,0.88
86,01/29/2025 12:35:00,129.397,28.242,16.89,0.8
87,01/29/2025 12:36:00,127.199,28.253,16.91,0.82
88,01/29/2025 12:37:00,127.379,28.256,16.78,0.72
89,01/29/2025 12:38:00,130.687,28.233,16.82,0.73
90,01/29/2025 12:39:00,100.679,28.224,16.79,0.7
91,01/29/2025 12:40:00,130.986,28.15,16.77,0.63
