#,Date-Time (EST/EDT),"ACCurrent , amp","Temperature , °C","RH , %","Light , lux","Dew Point , °C"
25,02/26/2025 12:56:26,165.786,28.548,24.51,55.04,6.33
26,02/26/2025 12:57:26,165.328,30.202,23.09,0.0,6.85
27,02/26/2025 12:58:26,158.416,31.567,22.54,0.0,7.63
28,02/26/2025 12:59:26,149.828,32.579,21.44,0.0,7.74
29,02/26/2025 13:00:26,146.157,33.079,20.86,11.16,7.75
30,02/26/2025 13:01:26,145.736,33.066,19.95,0.0,7.08
31,02/26/2025 13:02:26,151.495,33.579,19.86,0.0,7.44
32,02/26/2025 13:03:26,158.993,33.894,19.09,0.0,7.12
33,02/26/2025 13:04:26,158.032,34.131,18.89,0.0,7.15
34,02/26/2025 13:05:26,148.4,34.678,17.74,0.0,6.68
35,02/26/2025 13:06:26,148.492,35.087,17.2,0.0,6.57
36,02/26/2025 13:07:26,149.215,35.499,17.08,0.0,6.79
37,02/26/2025 13:08:26,145.26,35.891,16.74,0.0,6.81
38,02/26/2025 13:09:26,145.782,36.228,16.14,0.0,6.55
39,02/26/2025 13:10:26,145.965,36.541,15.9,0.0,6.58
40,02/26/2025 13:11:26,150.927,36.724,15.51,0.0,6.36
41,02/26/2025 13:12:26,172.552,36.895,15.08,0.0,6.09
42,02/26/2025 13:13:26,125.063,37.178,14.81,0.0,6.05
43,02/26/2025 13:14:26,110.936,37.438,14.62,0.0,6.07
44,02/26/2025 13:15:26,122.976,37.698,14.3,0.0,5.96
45,02/26/2025 13:16:26,156.475,37.585,14.2,0.0,5.76
46,02/26/2025 13:17:26,156.988,37.602,14.04,0.0,5.61
47,02/26/2025 13:18:26,157.07,37.609,13.93,0.0,5.5
48,02/26/2025 13:19:26,154.644,37.621,13.8,0.0,5.38
49,02/26/2025 13:20:26,156.045,37.679,13.74,0.0,5.36
50,02/26/2025 13:21:26,154.672,37.805,13.71,0.0,5.43
51,02/26/2025 13:22:26,153.179,37.771,13.71,0.0,5.41
52,02/26/2025 13:23:26,165.264,37.853,13.66,0.0,5.41
53,02/26/2025 13:24:26,144.537,37.81,13.57,0.0,5.29
54,02/26/2025 13:25:26,152.474,37.8,13.33,0.0,5.02
55,02/26/2025 13:26:26,151.522,37.788,13.29,0.0,4.97
56,02/26/2025 13:27:26,151.485,37.803,13.17,0.0,4.85
57,02/26/2025 13:28:26,92.68,38.019,13.05,0.0,4.89
58,02/26/2025 13:29:26,92.515,38.113,12.96,0.0,4.86
59,02/26/2025 13:30:26,96.782,38.125,12.91,0.0,4.81
60,02/26/2025 13:31:26,97.569,38.078,12.81,0.0,4.67
61,02/26/2025 13:32:26,90.51,37.85,12.8,0.0,4.48
62,02/26/2025 13:33:26,90.556,37.545,12.73,0.0,4.16
